,book_title,author_name,book_location,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,topic_10,topic_11,topic_12,topic_13,topic_14,topic_15,topic_16,topic_17,topic_18,topic_19,topic_20,word_count,sentence_count,sentence_length,polarity,subjectivity
0,Behind the Beyond,Stephen Leacock,../data/gutenberg/Stephen Leacock___Behind the Beyond.txt,-12.002609140897455,-12.00260914420868,-12.002609141345479,-2.87150429269641,-3.153252210874602,-12.002609140276556,-1.8048267358190984,-5.013787219583253,-1.2626834271207308,-3.066988363588614,-2.7079108881306513,-12.0026091438147,-12.002609143516857,-12.002609142528948,-12.002609144084113,-2.6018815268741724,-12.002609140918123,-2.533365359367636,-12.002609141428508,-1.7158710645418462,10.31231367277647,7.719129840906732,2.593183831869739,0.4633441377922937,0.43898001178829804
1,Tommy and Co,Jerome Klapka Jerome,../data/gutenberg/Jerome Klapka Jerome___Tommy and Co.txt,-12.68960926767179,-3.822412688953415,-12.68960926627474,-12.689609269130669,-12.689609264837452,-12.689609266117289,-3.3698982049636848,-5.159037406992785,-0.8831338429578798,-1.7588879367526706,-5.515870862507236,-12.689609264257557,-12.689609268034982,-12.689609266491392,-5.5159821982340835,-2.8133408553064463,-1.7597093599058842,-12.689609265293795,-12.689609265574852,-2.1884620615862374,10.93663644805993,8.395477432732141,2.5411590153277905,0.4812638324955054,0.534174909105336
2,Winsome Winnie and other New Nonsense Novels,Stephen Leacock,../data/gutenberg/Stephen Leacock___Winsome Winnie and other New Nonsense Novels.txt,-12.31823991916491,-4.697728151300521,-2.575599105288992,-2.319330012209149,-4.82236027679012,-2.884098340465441,-1.610665799063823,-5.127437187056012,-1.82718650579666,-3.6520905511094366,-4.13678624162346,-4.720350394640148,-4.524484430694695,-3.195773988844837,-12.31823991834298,-2.252720567347006,-3.0569265231428164,-12.318239919517653,-12.318239921219643,-2.031255953285379,10.587265983091973,8.020270472819238,2.566995510272735,0.5068572347089246,0.48804974932022094
3,The Moccasin Ranch,Hamlin Garland,../data/gutenberg/Hamlin Garland___The Moccasin Ranch.txt,-11.631952146455628,-11.631952152543052,-0.8845691039532079,-1.790058147525013,-4.037696298595693,-11.631952150066619,-3.6986113657269226,-4.351667166596167,-1.4848530393450974,-2.59784873029149,-11.631952150270205,-8.837490672882486,-2.9645598432066156,-11.63195214669224,-11.631952148926638,-11.631952148823544,-11.631952146720419,-11.631952146781183,-11.631952146680813,-4.41538159946076,9.81722135237872,7.224753405767971,2.5924679466107485,0.3979295560796682,0.5944323308473851
4,Three Ghost Stories,Charles Dickens,../data/gutenberg/Charles Dickens___Three Ghost Stories.txt,-5.966696276935754,-2.4899245658976854,-3.8694921612291546,-2.632902902783482,-11.630886238051103,-11.63088623946468,-0.8207469626526608,-11.630886238985793,-2.2858731282233955,-6.02208337490155,-8.749091413626976,-4.3421947715561,-4.056951871845016,-5.1683707479036745,-2.651569983432559,-3.3824055328192997,-4.625073053080209,-4.409435916738826,-4.862522385008358,-2.233252569746467,9.960859832393998,6.907755278982137,3.053104553411861,0.40480964795377394,0.46523933088360914
5,The Man with Two Left Feet,P G Wodehouse,../data/gutenberg/P G Wodehouse___The Man with Two Left Feet.txt,-12.790408895720788,-3.4917089005817235,-6.625466738812284,-3.044863881757459,-12.790408896635219,-5.500450825877358,-12.790408897439857,-2.8253761214843487,-0.9194199004173987,-2.4204091101600174,-6.774546107151715,-12.790408895567131,-12.790408896243276,-12.790408895480203,-6.290899282727434,-3.3616765066668424,-3.271754821933296,-12.790408897766,-12.79040889829548,-1.2242411942204288,11.197323912520314,8.651374372882257,2.5459495396380563,0.4543133207620964,0.5025207893669685
6,"Essays: Scientific, Political, & Speculative, Volume I",Herbert Spencer,"../data/gutenberg/Herbert Spencer___Essays: Scientific, Political, & Speculative, Volume I.txt",-13.868292718721449,-13.868292720164034,-13.868292718971468,-13.868292722743556,-10.864319710297634,-13.86829271933515,-13.868292721021076,-13.868292725462757,-13.86829272410543,-13.86829272410163,-3.118998566924032,-4.592476813185353,-6.941878846368119,-13.868292722008759,-0.21147584793770566,-2.0018151808128652,-13.868292723831946,-13.868292720744682,-8.546330954571468,-13.868292720399921,11.976539977206704,8.53856321715243,3.4379767600542745,0.45489235618511675,0.3623503696388659
7,The Lady of the Aroostook,William Dean Howells,../data/gutenberg/William Dean Howells___The Lady of the Aroostook.txt,-12.824765617338867,-12.824765616124068,-6.8581814616252705,-3.061223575621077,-6.341473995757879,-12.824765616848834,-7.868053723793339,-4.580541475111649,-1.8920939621921313,-2.608144939456719,-12.824765617506452,-12.8247656176664,-12.824765616709433,-2.6110902336920603,-12.824765615820423,-12.82476561647149,-2.2447205606883482,-5.157020177742041,-5.6196031053164015,-0.641541774162598,11.263129882658593,8.602636673233706,2.6604932094248874,0.4770385226591326,0.5449412520375607
8,Tarzan the Untamed,Edgar Rice Burroughs,../data/gutenberg/Edgar Rice Burroughs___Tarzan the Untamed.txt,-13.37966868931434,-13.379668692683076,-0.3812386919690153,-6.000666281370459,-13.379668692198035,-3.5925716962814396,-13.379668691650119,-13.379668693408215,-13.379668692532942,-13.379668688666243,-13.379668691567554,-13.379668692543891,-1.588593513750713,-2.9471511607070093,-4.016294967785406,-13.3796686901911,-13.379668695027638,-4.403107473159755,-13.379668689692371,-13.379668691242822,11.603953763317792,8.482808764554406,3.121144998763386,0.3408671284929339,0.44584292793120306
9,Diary of a Pilgrimage,Jerome Klapka Jerome,../data/gutenberg/Jerome Klapka Jerome___Diary of a Pilgrimage.txt,-12.338152960520317,-12.338152961401962,-12.338152962547815,-2.1638689539536595,-5.409142292399848,-12.338152960960045,-2.77862279258981,-8.040153483381701,-1.4709647210943149,-3.1842754453106297,-2.9721786884240013,-12.338152965007069,-12.338152961541018,-6.67281123668942,-12.338152961427758,-2.5676297255892715,-3.8579816721039344,-1.8728740793701015,-3.6214306437144965,-1.530877116745199,10.65133596386616,7.70796153183549,2.94337443203067,0.452046324601675,0.4961450694842333
