,book_title,author_name,book_location,word_count,sentence_count,sentence_length,polarity,subjectivity
0,Behind the Beyond,Stephen Leacock,../data/gutenberg/Stephen Leacock___Behind the Beyond.txt,30101,2251,13.372278987116838,0.09336359252385558,0.46435734626433806
1,Tommy and Co,Jerome Klapka Jerome,../data/gutenberg/Jerome Klapka Jerome___Tommy and Co.txt,56198,4427,12.694375423537384,0.09992152147061499,0.4904830263387032
2,Winsome Winnie and other New Nonsense Novels,Stephen Leacock,../data/gutenberg/Stephen Leacock___Winsome Winnie and other New Nonsense Novels.txt,39627,3042,13.02662721893491,0.10928773646485578,0.4778242473296606
3,The Moccasin Ranch,Hamlin Garland,../data/gutenberg/Hamlin Garland___The Moccasin Ranch.txt,18347,1373,13.362709395484341,0.06942433540713135,0.5070203215814925
4,Three Ghost Stories,Charles Dickens,../data/gutenberg/Charles Dickens___Three Ghost Stories.txt,21181,1000,21.181,0.07194218821683775,0.47156406205468104
5,The Man with Two Left Feet,P G Wodehouse,../data/gutenberg/P G Wodehouse___The Man with Two Left Feet.txt,72935,5718,12.755334032878629,0.09005865583848871,0.48179573921903723
6,"Essays: Scientific, Political, & Speculative, Volume I",Herbert Spencer,"../data/gutenberg/Herbert Spencer___Essays: Scientific, Political, & Speculative, Volume I.txt",158981,5108,31.12392325763508,0.09027056085276017,0.4433267913561096
7,The Lady of the Aroostook,William Dean Howells,../data/gutenberg/William Dean Howells___The Lady of the Aroostook.txt,77896,5446,14.303341902313624,0.09837521824704443,0.4934377858788226
8,Tarzan the Untamed,Edgar Rice Burroughs,../data/gutenberg/Edgar Rice Burroughs___Tarzan the Untamed.txt,109530,4831,22.672324570482303,0.04854165008011295,0.4662408332639574
9,Diary of a Pilgrimage,Jerome Klapka Jerome,../data/gutenberg/Jerome Klapka Jerome___Diary of a Pilgrimage.txt,42249,2226,18.97978436657682,0.08922902118294095,0.48004596036959574
10,Rinkitink in Oz,Lyman Frank Baum,../data/gutenberg/Lyman Frank Baum___Rinkitink in Oz.txt,49780,2360,21.093220338983052,0.1256802375617437,0.5417463783491768
11,The Great Keinplatz Experiment and Other Tales of Twilight and the Unseen,Sir Arthur Conan Doyle,../data/gutenberg/Sir Arthur Conan Doyle___The Great Keinplatz Experiment and Other Tales of Twilight and the Unseen.txt,69892,4448,15.713129496402878,0.07651871253963978,0.4910333324769824
12,On the Origin of Species by Means of Natural Selection or the Preservation of Favoured Races in the Struggle for Life. (2nd edition),Charles Darwin,../data/gutenberg/Charles Darwin___On the Origin of Species by Means of Natural Selection or the Preservation of Favoured Races in the Struggle for Life. (2nd edition).txt,157322,4829,32.57858769931663,0.09886458752987007,0.4398012961832471
13,Is Shakespeare Dead?,Mark Twain,../data/gutenberg/Mark Twain___Is Shakespeare Dead?.txt,21348,910,23.459340659340658,0.1334997895405964,0.4948390794457707
14,The Irrational Knot,George Bernard Shaw,../data/gutenberg/George Bernard Shaw___The Irrational Knot.txt,121647,9489,12.81979133733797,0.08018429222081706,0.5194815739513919
15,A Garland for Girls,Louisa May Alcott,../data/gutenberg/Louisa May Alcott___A Garland for Girls.txt,72792,2853,25.514195583596216,0.1675466669940378,0.5454279124740298
16,Mercedes of Castile,James Fenimore Cooper,../data/gutenberg/James Fenimore Cooper___Mercedes of Castile.txt,183198,6483,28.258213789912077,0.15286554692860116,0.5138119671533561
17,The Hermits,Charles Kingsley,../data/gutenberg/Charles Kingsley___The Hermits.txt,91903,2918,31.49520219328307,0.10593699704322773,0.49450586882051045
18,Prince Ricardo of Pantouflia,Andrew Lang,../data/gutenberg/Andrew Lang___Prince Ricardo of Pantouflia.txt,24278,1512,16.056878306878307,0.0863028097061419,0.5398572264238746
19,"The Hall of Fantasy (From ""Mosses From An Old Manse"")",Nathaniel Hawthorne,"../data/gutenberg/Nathaniel Hawthorne___The Hall of Fantasy (From ""Mosses From An Old Manse"").txt",4493,195,23.04102564102564,0.1362012911647314,0.48573916643554543
20,From Twice Told Tales,Nathaniel Hawthorne,../data/gutenberg/Nathaniel Hawthorne___From Twice Told Tales.txt,85568,3640,23.50769230769231,0.08044031208603215,0.4859831563203512
21,Biographia Literaria,Samuel Taylor Coleridge,../data/gutenberg/Samuel Taylor Coleridge___Biographia Literaria.txt,139631,4420,31.590723981900453,0.11526060874157147,0.48429938660141325
22,They of the High Trails,Hamlin Garland,../data/gutenberg/Hamlin Garland___They of the High Trails.txt,105778,7701,13.735618750811582,0.07593217457987142,0.5021053885895539
23,The Crime of the Congo,Sir Arthur Conan Doyle,../data/gutenberg/Sir Arthur Conan Doyle___The Crime of the Congo.txt,51975,2276,22.83611599297012,0.0543809956682461,0.44529447548025003
24,King Solomon's Mines,Henry Rider Haggard,../data/gutenberg/Henry Rider Haggard___King Solomon's Mines.txt,82944,4089,20.28466617754952,0.08883109706486544,0.4924664483244004
25,The Doctor's Dilemma,George Bernard Shaw,../data/gutenberg/George Bernard Shaw___The Doctor's Dilemma.txt,33092,4179,7.918640823163436,0.09374622556979788,0.519877575752989
