,index,file_extension,title,author
0,779,../data/gutenberg/Stephen Leacock___Behind the Beyond.txt,Behind the Beyond,Stephen Leacock
1,1357,../data/gutenberg/Jerome Klapka Jerome___Tommy and Co.txt,Tommy and Co,Jerome Klapka Jerome
2,2868,../data/gutenberg/Stephen Leacock___Winsome Winnie and other New Nonsense Novels.txt,Winsome Winnie and other New Nonsense Novels,Stephen Leacock
3,175,../data/gutenberg/Hamlin Garland___The Moccasin Ranch.txt,The Moccasin Ranch,Hamlin Garland
4,121,../data/gutenberg/Charles Dickens___Three Ghost Stories.txt,Three Ghost Stories,Charles Dickens
5,1656,../data/gutenberg/P G Wodehouse___The Man with Two Left Feet.txt,The Man with Two Left Feet,P G Wodehouse
6,867,"../data/gutenberg/Herbert Spencer___Essays: Scientific, Political, & Speculative, Volume I.txt","Essays: Scientific, Political, & Speculative, Volume I",Herbert Spencer
7,2621,../data/gutenberg/William Dean Howells___The Lady of the Aroostook.txt,The Lady of the Aroostook,William Dean Howells
8,1544,../data/gutenberg/Edgar Rice Burroughs___Tarzan the Untamed.txt,Tarzan the Untamed,Edgar Rice Burroughs
9,566,../data/gutenberg/Jerome Klapka Jerome___Diary of a Pilgrimage.txt,Diary of a Pilgrimage,Jerome Klapka Jerome
10,558,../data/gutenberg/Lyman Frank Baum___Rinkitink in Oz.txt,Rinkitink in Oz,Lyman Frank Baum
11,206,../data/gutenberg/Sir Arthur Conan Doyle___The Great Keinplatz Experiment and Other Tales of Twilight and the Unseen.txt,The Great Keinplatz Experiment and Other Tales of Twilight and the Unseen,Sir Arthur Conan Doyle
12,226,../data/gutenberg/Charles Darwin___On the Origin of Species by Means of Natural Selection or the Preservation of Favoured Races in the Struggle for Life. (2nd edition).txt,On the Origin of Species by Means of Natural Selection or the Preservation of Favoured Races in the Struggle for Life. (2nd edition),Charles Darwin
13,2271,../data/gutenberg/Mark Twain___Is Shakespeare Dead?.txt,Is Shakespeare Dead?,Mark Twain
14,2468,../data/gutenberg/George Bernard Shaw___The Irrational Knot.txt,The Irrational Knot,George Bernard Shaw
15,686,../data/gutenberg/Louisa May Alcott___A Garland for Girls.txt,A Garland for Girls,Louisa May Alcott
16,874,../data/gutenberg/James Fenimore Cooper___Mercedes of Castile.txt,Mercedes of Castile,James Fenimore Cooper
17,269,../data/gutenberg/Charles Kingsley___The Hermits.txt,The Hermits,Charles Kingsley
18,2110,../data/gutenberg/Andrew Lang___Prince Ricardo of Pantouflia.txt,Prince Ricardo of Pantouflia,Andrew Lang
19,934,"../data/gutenberg/Nathaniel Hawthorne___The Hall of Fantasy (From ""Mosses From An Old Manse"").txt","The Hall of Fantasy (From ""Mosses From An Old Manse"")",Nathaniel Hawthorne
20,2774,../data/gutenberg/Nathaniel Hawthorne___From Twice Told Tales.txt,From Twice Told Tales,Nathaniel Hawthorne
21,135,../data/gutenberg/Samuel Taylor Coleridge___Biographia Literaria.txt,Biographia Literaria,Samuel Taylor Coleridge
22,64,../data/gutenberg/Hamlin Garland___They of the High Trails.txt,They of the High Trails,Hamlin Garland
23,1887,../data/gutenberg/Sir Arthur Conan Doyle___The Crime of the Congo.txt,The Crime of the Congo,Sir Arthur Conan Doyle
24,2451,../data/gutenberg/Henry Rider Haggard___King Solomon's Mines.txt,King Solomon's Mines,Henry Rider Haggard
25,1952,../data/gutenberg/George Bernard Shaw___The Doctor's Dilemma.txt,The Doctor's Dilemma,George Bernard Shaw
26,966,../data/gutenberg/Edward Phillips Oppenheim___The Kingdom of the Blind.txt,The Kingdom of the Blind,Edward Phillips Oppenheim
27,704,../data/gutenberg/G K Chesterton___A Miscellany of Men.txt,A Miscellany of Men,G K Chesterton
28,2488,../data/gutenberg/Frank Richard Stockton___Amos Kilbright; His Adscititious Experiences.txt,Amos Kilbright; His Adscititious Experiences,Frank Richard Stockton
29,692,"../data/gutenberg/William Wymark Jacobs___Prize Money, Sailor's Knots, Part 10.txt","Prize Money, Sailor's Knots, Part 10",William Wymark Jacobs
30,476,../data/gutenberg/Edward Stratemeyer___Leo the Circus Boy.txt,Leo the Circus Boy,Edward Stratemeyer
31,1693,../data/gutenberg/Lyman Frank Baum___Tik-Tok of Oz.txt,Tik-Tok of Oz,Lyman Frank Baum
32,1037,../data/gutenberg/Frank Richard Stockton___The Great War Syndicate.txt,The Great War Syndicate,Frank Richard Stockton
33,1349,../data/gutenberg/Jack London___The People of the Abyss.txt,The People of the Abyss,Jack London
34,775,../data/gutenberg/George Bernard Shaw___Heartbreak House.txt,Heartbreak House,George Bernard Shaw
35,271,../data/gutenberg/George Bernard Shaw___Maxims for Revolutionists.txt,Maxims for Revolutionists,George Bernard Shaw
36,1106,../data/gutenberg/Richard Brinsley Sheridan___The Duenna.txt,The Duenna,Richard Brinsley Sheridan
37,369,../data/gutenberg/Herman Melville___Battle-Pieces and Aspects of the War.txt,Battle-Pieces and Aspects of the War,Herman Melville
38,1509,../data/gutenberg/John Dryden___His Majesties Declaration Defended.txt,His Majesties Declaration Defended,John Dryden
39,1148,../data/gutenberg/Richard Brinsley Sheridan___The Rivals.txt,The Rivals,Richard Brinsley Sheridan
40,2465,../data/gutenberg/Jack London___The God of His Fathers.txt,The God of His Fathers,Jack London
41,1074,../data/gutenberg/Herbert George Wells___The Red Room.txt,The Red Room,Herbert George Wells
42,1682,"../data/gutenberg/Jonathan Swift___The Prose Works of Jonathan Swift, D.D., Volume 10.txt","The Prose Works of Jonathan Swift, D.D., Volume 10",Jonathan Swift
43,847,../data/gutenberg/John Bunyan___The Jerusalem Sinner Saved.txt,The Jerusalem Sinner Saved,John Bunyan
44,1636,../data/gutenberg/Thornton Waldo Burgess___The Adventures of Grandfather Frog.txt,The Adventures of Grandfather Frog,Thornton Waldo Burgess
45,716,../data/gutenberg/Thomas Henry Huxley___Lectures on Evolution.txt,Lectures on Evolution,Thomas Henry Huxley
46,109,../data/gutenberg/Grant Allen___The Woman Who Did.txt,The Woman Who Did,Grant Allen
