,book_title,author_name,book_location,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,topic_10,topic_11,topic_12,topic_13,topic_14,topic_15
0,Behind the Beyond,Stephen Leacock,../data/gutenberg/Stephen Leacock___Behind the Beyond.txt,0.024503391050182743,1.3825554959016277e-05,1.3825562738289891e-05,0.019455514323996007,0.004147379730624271,1.382556029663648e-05,1.3825559477104592e-05,0.18863356385260696,0.1999645447276081,1.382556176329912e-05,1.3825553227958143e-05,1.3825557142356237e-05,1.382555693610018e-05,0.2893269262593749,0.2738580755890661
1,Tommy and Co,Jerome Klapka Jerome,../data/gutenberg/Jerome Klapka Jerome___Tommy and Co.txt,0.12208194189654831,6.9444615762229904e-06,0.3035330188280587,0.012188405284659266,6.944462858063017e-06,6.944460914612117e-06,0.0130005037672601,0.06653852149472185,0.12266721677962941,6.944459523790929e-06,6.944462587201657e-06,6.944463925687394e-06,0.123463293825126,0.23647848688806225,6.944464548639955e-06
2,Winsome Winnie and other New Nonsense Novels,Stephen Leacock,../data/gutenberg/Stephen Leacock___Winsome Winnie and other New Nonsense Novels.txt,0.20149631235712082,0.08734645830253061,0.02998527699093225,0.027773939739514798,9.835767616815824e-06,0.0229216108987923,0.0021988221396836345,0.1374144718030934,0.34114191785971426,0.018526119208838464,0.009753051158549252,0.05202004478249738,9.835770298742814e-06,0.06841828770432024,0.000984015516496821
3,The Moccasin Ranch,Hamlin Garland,../data/gutenberg/Hamlin Garland___The Moccasin Ranch.txt,1.9671527678560937e-05,1.9671540054212473e-05,0.007361553057790895,1.9671539325800286e-05,1.967154015576906e-05,0.2817864391671417,1.967154009068981e-05,1.9671542917714707e-05,0.2642656504040787,0.15295051886945554,1.967153455773073e-05,1.9671547638948138e-05,0.08651301657772767,0.20694577807958953,1.967153179665806e-05
4,Three Ghost Stories,Charles Dickens,../data/gutenberg/Charles Dickens___Three Ghost Stories.txt,2.0226594800838942e-05,0.0699235215364693,0.03068967252161634,0.03600165708840963,2.0226593189591938e-05,2.0226598366792166e-05,0.05982532369247095,0.018630472104213428,0.1223078878707446,2.0226596149983486e-05,0.031032678857011154,2.0226592513106947e-05,0.39818178782531694,0.0039139790537981965,0.2293918864749291
5,The Man with Two Left Feet,P G Wodehouse,../data/gutenberg/P G Wodehouse___The Man with Two Left Feet.txt,0.08423673571418999,0.00445127811744113,0.058969898067424045,2.0962617079696857e-05,6.337151841129902e-06,0.02353638374086812,0.013348694993912147,0.07364890703363662,0.2868377995893828,6.337153733677792e-06,6.337152186325049e-06,0.002402803650876477,0.005372676217448286,0.4471485116471585,6.337152821075129e-06
6,"Essays: Scientific, Political, & Speculative, Volume I",Herbert Spencer,"../data/gutenberg/Herbert Spencer___Essays: Scientific, Political, & Speculative, Volume I.txt",1.828140994145114e-06,1.8281411867589411e-06,1.828140904460977e-06,0.11858354886871371,0.0002483807706371752,1.828140920514006e-06,0.8662033928150498,0.014944567991556716,1.8281419103715054e-06,1.8281418401139582e-06,1.8281418240578494e-06,1.828141005924414e-06,1.8281414896406923e-06,1.828140594106404e-06,1.8281413725851872e-06
7,The Lady of the Aroostook,William Dean Howells,../data/gutenberg/William Dean Howells___The Lady of the Aroostook.txt,6.34257769402607e-06,0.17703417673498234,0.08615178236361344,6.342577536940512e-06,6.342577716925926e-06,6.342579062152796e-06,6.342579423106204e-06,0.20388940720466292,0.16779055501493503,6.342579497552768e-06,6.342578456519717e-06,6.34257827579318e-06,0.23389361136390002,0.1307129498617219,0.0004767768285213674
8,Tarzan the Untamed,Edgar Rice Burroughs,../data/gutenberg/Edgar Rice Burroughs___Tarzan the Untamed.txt,3.337678549824434e-06,3.3376813123595856e-06,3.337678408863919e-06,3.3376809658062497e-06,3.3376799293272293e-06,0.5517159697609304,0.052101395281559625,3.3376813289863926e-06,0.18130270805563412,0.016238403574265002,0.04966225058285146,0.14894923362425042,3.337680620455909e-06,3.3376781077066535e-06,3.3376812855576607e-06
9,Diary of a Pilgrimage,Jerome Klapka Jerome,../data/gutenberg/Jerome Klapka Jerome___Diary of a Pilgrimage.txt,0.005204817117041965,0.03066275014939255,1.0085756107663665e-05,0.04749420138030086,1.0085757414077308e-05,1.0085755923165345e-05,0.004227227084614531,0.13013583557068964,0.0966726327617248,1.008575759289613e-05,1.0085755848819334e-05,0.00028554552464090657,0.04027489537718665,0.21220066436742607,0.43279100188409536
10,Rinkitink in Oz,Lyman Frank Baum,../data/gutenberg/Lyman Frank Baum___Rinkitink in Oz.txt,7.977361843535781e-06,0.14365944398710187,7.977364799082347e-06,7.977362749987736e-06,7.97736175756458e-06,0.3263997792540355,7.97736269554644e-06,7.977362770111732e-06,7.97736520793714e-06,7.97736471531182e-06,0.37232523617665,0.004120903102371633,7.977364241053719e-06,0.12610382904954479,0.02731901215951592
11,The Great Keinplatz Experiment and Other Tales of Twilight and the Unseen,Sir Arthur Conan Doyle,../data/gutenberg/Sir Arthur Conan Doyle___The Great Keinplatz Experiment and Other Tales of Twilight and the Unseen.txt,0.062142243784640554,0.10153933902140817,0.0029115598839134886,0.0031770840868016468,0.0005848296649383875,0.034183299768153895,0.05835662894616017,0.0494435566629888,0.4256796108093541,6.14384482613499e-06,0.10640272006244995,0.0007730703901096046,0.009123927856313649,0.044655396078162164,0.1010205891397792
12,On the Origin of Species by Means of Natural Selection or the Preservation of Favoured Races in the Struggle for Life. (2nd edition),Charles Darwin,../data/gutenberg/Charles Darwin___On the Origin of Species by Means of Natural Selection or the Preservation of Favoured Races in the Struggle for Life. (2nd edition).txt,1.8747684192292405e-06,1.8747688905239613e-06,1.8747681026762984e-06,1.8747692357889736e-06,1.8747681722561781e-06,1.874768502964231e-06,0.9999737532396521,1.8747684956764708e-06,1.874768312745114e-06,1.8747693748766362e-06,1.874768679636306e-06,1.8747693388884588e-06,1.8747684056536427e-06,1.8747679139955225e-06,1.8747685027688481e-06
13,Is Shakespeare Dead?,Mark Twain,../data/gutenberg/Mark Twain___Is Shakespeare Dead?.txt,0.047686068341390345,0.07132205992343295,0.0034148913102453613,0.3002777795067115,0.06181244377747049,0.022031330093713976,0.030631935381352407,0.39053841756000957,1.6103100998988122e-05,1.6103105906600816e-05,1.6103099844484183e-05,0.005152803666828764,1.6103100810452107e-05,0.06705175492714067,1.6103104143304408e-05
14,The Irrational Knot,George Bernard Shaw,../data/gutenberg/George Bernard Shaw___The Irrational Knot.txt,0.15858110224274566,3.925042919680598e-06,0.0012338433975861787,0.06712964399187829,0.02107011967850417,3.925041284889763e-06,6.012048143187986e-05,0.06730986486911712,0.1542512786318269,3.925041354607128e-06,6.679174642725572e-05,3.925041803629229e-06,0.4354953958329601,0.09379620955951487,0.0009899294006447353
15,A Garland for Girls,Louisa May Alcott,../data/gutenberg/Louisa May Alcott___A Garland for Girls.txt,0.0001059133818228282,0.026698832446618373,0.42168460997505675,5.55279007359949e-06,0.05409637655086679,5.552793217642945e-06,5.552789302561663e-06,0.048232795912195224,0.006269315580020617,0.013431202802017749,5.5527933570031e-06,5.552793616454408e-06,0.1500489070145414,0.25474653426205685,0.02465774811523617
16,Mercedes of Castile,James Fenimore Cooper,../data/gutenberg/James Fenimore Cooper___Mercedes of Castile.txt,1.773195332711309e-06,0.14539310165927363,1.7731944794460257e-06,0.12166875250922264,0.013117802755063699,1.7731942051773442e-06,0.021961085335931396,0.014327906735348207,1.7731950939345216e-06,0.03679059223359419,0.6326915291936376,1.7731953010310152e-06,0.014036817213756311,1.7731949627601682e-06,1.7731947972809033e-06
17,The Hermits,Charles Kingsley,../data/gutenberg/Charles Kingsley___The Hermits.txt,3.9121439159451e-06,0.007309462176218859,3.912142188594746e-06,0.037417517923529056,0.5558043866731148,3.912143691512837e-06,0.002998343374266421,3.912143907598762e-06,3.912142908253522e-06,0.052425166860601606,0.24844430708860152,0.0027245828235176236,3.912143757361323e-06,3.912142137394161e-06,0.09284884807764339
18,Prince Ricardo of Pantouflia,Andrew Lang,../data/gutenberg/Andrew Lang___Prince Ricardo of Pantouflia.txt,0.1245105982569311,1.672104793613438e-05,0.0005607456096534095,1.6721050715555976e-05,1.6721057996356003e-05,0.29117881324864364,1.672105928021157e-05,0.02871107142517985,1.672105792872993e-05,1.6721046878562777e-05,0.28268075587154595,1.6721049510126072e-05,1.6721057536864868e-05,0.03681982347250387,0.23540442368775968
19,"The Hall of Fantasy (From ""Mosses From An Old Manse"")",Nathaniel Hawthorne,"../data/gutenberg/Nathaniel Hawthorne___The Hall of Fantasy (From ""Mosses From An Old Manse"").txt",6.781972048930963e-05,6.781976777803177e-05,6.781974412353053e-05,0.03154340149941817,0.1097638837886785,6.78197436061267e-05,0.07482187928372656,0.6389164695675934,0.03287178243259449,6.781978417175399e-05,0.03341145048402832,6.781973555470285e-05,6.781978176833947e-05,6.78197251209594e-05,0.07812857494134795
20,From Twice Told Tales,Nathaniel Hawthorne,../data/gutenberg/Nathaniel Hawthorne___From Twice Told Tales.txt,3.4581828024922315e-06,3.4581824523836967e-06,0.0589687277466952,0.017401119993533973,0.02237189487476866,3.4581816297561386e-06,0.006619110299307644,0.1727196082086671,0.05903639040721407,0.04970442432194503,0.4647529945920744,0.0025565046993502954,0.009952368639521496,0.009185569945651024,0.12672091172438663
21,Biographia Literaria,Samuel Taylor Coleridge,../data/gutenberg/Samuel Taylor Coleridge___Biographia Literaria.txt,2.2621938959427922e-06,0.013319411431319069,2.262193622689342e-06,0.302494379088396,0.2653736547044228,2.2621931760229435e-06,0.1348112879258683,0.279839509290277,2.262193367949349e-06,2.262193400677204e-06,2.2621937878117487e-06,2.262193146607324e-06,0.004141397818748908,2.262193334423715e-06,2.262193235871518e-06
22,They of the High Trails,Hamlin Garland,../data/gutenberg/Hamlin Garland___They of the High Trails.txt,3.835837129233962e-06,3.835835920367796e-06,0.07483193916719771,0.017227598053235916,3.8358366299429674e-06,0.42598968953099575,0.0010349623376538755,0.0067765626680921865,0.3141625280759749,0.01815361223271113,0.010809419962603676,0.018770249356448852,0.09317892630923238,0.01904916895993642,3.835836237659319e-06
23,The Crime of the Congo,Sir Arthur Conan Doyle,../data/gutenberg/Sir Arthur Conan Doyle___The Crime of the Congo.txt,6.661354405334193e-06,6.661354594321516e-06,6.661351872737905e-06,0.5735912233543355,6.661352815229883e-06,6.6613566396306595e-06,6.661355942334931e-06,6.661355211193484e-06,0.04173327470820581,0.10546783274828055,6.6613544036377135e-06,0.26159046138018927,6.661354608240963e-06,6.6613553365514964e-06,0.01755059426315961
24,King Solomon's Mines,Henry Rider Haggard,../data/gutenberg/Henry Rider Haggard___King Solomon's Mines.txt,5.203062012721992e-06,0.027810056067371736,5.203061063251398e-06,5.203060984562377e-06,0.03772473531779334,0.30981238262133975,0.034816289499824585,5.203063729170379e-06,0.08049979751200476,0.017115721521927016,0.26207635014090236,0.09376767050500656,5.203062273476471e-06,5.203061732556575e-06,0.1363457784420342
25,The Doctor's Dilemma,George Bernard Shaw,../data/gutenberg/George Bernard Shaw___The Doctor's Dilemma.txt,0.27192950086292467,1.333336790077891e-05,1.3333369754502369e-05,0.011917243317141174,0.008394906201275138,1.3333369424336732e-05,0.016693118412637403,0.11651730602053272,0.0378014377355784,1.333336621748303e-05,1.3333367743301106e-05,1.3333362406749015e-05,0.421181025050304,0.11425745986355793,0.0012280023326013032
26,The Kingdom of the Blind,Edward Phillips Oppenheim,../data/gutenberg/Edward Phillips Oppenheim___The Kingdom of the Blind.txt,0.08080609255572253,0.0749705224121923,5.938078960214407e-06,5.938082811045501e-06,5.938077652781192e-06,5.9380793641312554e-06,5.938081635473321e-06,5.938081707815462e-06,0.6877702538877911,5.938077759779536e-06,5.938078112311074e-06,0.1453984490027889,0.007448268723472344,0.0035529706991526814,5.938080876859649e-06
