,book_title,author_name,book_location,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,topic_10,topic_11,topic_12,topic_13,topic_14,topic_15,topic_16,topic_17,topic_18,topic_19,topic_20
0,Behind the Beyond,Stephen Leacock,../data/gutenberg/Stephen Leacock___Behind the Beyond.txt,0.024753822237627374,0.0,0.030954431636170034,0.03259053396829207,0.0817752235171988,0.0,0.0,0.0,0.006030887652659604,0.0005776236092096459,0.0,0.0,0.07249610340140454,0.0,0.043274428280459,0.0,0.005501872966382025,0.0,0.053510565540451804,0.0008907839150855611
1,Tommy and Co,Jerome Klapka Jerome,../data/gutenberg/Jerome Klapka Jerome___Tommy and Co.txt,0.010175688901342543,0.0,0.015237066047569678,0.047607269032124984,0.006928372982925742,0.0012502983178488347,0.0,0.008516595864974906,0.0,0.0017782928870937582,0.0,0.0,0.0032133254582381687,0.0,0.0,0.0,0.24156270436838698,0.07737291807433125,0.007175302139499015,0.004169250749317246
2,Winsome Winnie and other New Nonsense Novels,Stephen Leacock,../data/gutenberg/Stephen Leacock___Winsome Winnie and other New Nonsense Novels.txt,0.044107420911020614,0.0,0.014084893197352837,0.0,0.08309973783093333,0.0,0.013311117601555643,0.0009380629155238826,0.003618065795428898,0.0029237960913480808,0.003249994121183041,0.007782791050591142,0.030975217248544146,0.0036266824783434083,0.0056245612363690495,0.01208726618185226,0.013309331465114071,0.05385914937215228,0.0,0.019906370875982647
3,The Moccasin Ranch,Hamlin Garland,../data/gutenberg/Hamlin Garland___The Moccasin Ranch.txt,0.004341345879547351,0.0,0.0,0.02203827684977112,0.0,0.0,0.0,0.0,0.015059851393365558,0.004809336689051134,0.0,0.0,0.04362769175778277,0.0,0.00033047955441708955,0.040634159236651445,0.0,0.0,0.0,0.0
4,Three Ghost Stories,Charles Dickens,../data/gutenberg/Charles Dickens___Three Ghost Stories.txt,0.06307978105154845,0.0,0.018697899730296414,0.0003628019456869213,0.09071589159812986,0.0018380939495881872,0.010199970424888474,0.0,0.017043369517020134,0.0029119709322088646,0.025047721890628656,0.0030547692152601722,0.004595311384919209,0.0,0.004226263803884258,0.008517564096906998,0.0005470868070786945,0.05687736599372593,0.0,0.006891194869865167
5,The Man with Two Left Feet,P G Wodehouse,../data/gutenberg/P G Wodehouse___The Man with Two Left Feet.txt,0.013768976683592657,0.001079097740170651,0.023601283747006638,0.017254753108734006,0.01412488653877072,0.003518573685932603,0.0,0.008534628272271513,0.0022358749959527826,0.0,0.005666904602084219,0.0,0.11329620750602173,0.01760481374861537,0.0021464526284669786,0.0011119122069736943,0.06097446399272558,0.07389592937030949,0.0,0.00488888625571919
6,"Essays: Scientific, Political, & Speculative, Volume I",Herbert Spencer,"../data/gutenberg/Herbert Spencer___Essays: Scientific, Political, & Speculative, Volume I.txt",0.0026667585158977655,0.00037190880186070436,0.04214017110438032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28377410668229536,0.005233531797321309,0.0,0.0001541548165855492,0.004706465783881925,0.00014102564074944385,0.0,0.0,0.0,0.0
7,The Lady of the Aroostook,William Dean Howells,../data/gutenberg/William Dean Howells___The Lady of the Aroostook.txt,0.03625106042419467,0.0,0.02181964752300038,0.07397224499684228,0.0,0.0,0.11054082688482982,0.0,0.0,0.0,0.0,0.0,0.050790454163916934,0.0,0.0,0.0,0.0012249750811155207,0.12738674598096783,0.0,0.0
8,Tarzan the Untamed,Edgar Rice Burroughs,../data/gutenberg/Edgar Rice Burroughs___Tarzan the Untamed.txt,0.056416426307579454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003964035270967412,0.018586888437931517,0.03408156285945669,0.011812472992569755,0.023467873554290048,0.0,0.13175330100833207,0.0,0.008514238934509706,0.0,0.0
9,Diary of a Pilgrimage,Jerome Klapka Jerome,../data/gutenberg/Jerome Klapka Jerome___Diary of a Pilgrimage.txt,0.025612857238870575,0.0,0.058025301236476326,0.007226906831819432,0.015451986940649854,0.0,0.008163206402910855,0.0,0.03838861090949286,0.011689180406846536,0.0,0.015160374644410592,0.06404537982874155,0.0,0.0024516525521181822,0.003201631194677372,0.0,0.005468220894550258,0.05810334710188759,0.010983050609490617
