,book_title,author_name,book_location,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,topic_10,topic_11,topic_12,topic_13,topic_14,topic_15,topic_16,topic_17,topic_18,topic_19,topic_20
0,Behind the Beyond,../data/gutenberg/Stephen Leacock,../data/gutenberg/Stephen Leacock___Behind the Beyond.txt,0.0,0.0,0.0,0.06,0.04,0.0,0.16,0.01,0.28,0.05,0.07,0.0,0.0,0.0,0.0,0.07,0.0,0.08,0.0,0.18
1,Tommy and Co,../data/gutenberg/Jerome Klapka Jerome,../data/gutenberg/Jerome Klapka Jerome___Tommy and Co.txt,0.0,0.02,0.0,0.0,0.0,0.0,0.03,0.01,0.41,0.17,0.0,0.0,0.0,0.0,0.0,0.06,0.17,0.0,0.0,0.11
2,Winsome Winnie and other New Nonsense Novels,../data/gutenberg/Stephen Leacock,../data/gutenberg/Stephen Leacock___Winsome Winnie and other New Nonsense Novels.txt,0.0,0.01,0.08,0.1,0.01,0.06,0.2,0.01,0.16,0.03,0.02,0.01,0.01,0.04,0.0,0.11,0.05,0.0,0.0,0.13
3,The Moccasin Ranch,../data/gutenberg/Hamlin Garland,../data/gutenberg/Hamlin Garland___The Moccasin Ranch.txt,0.0,0.0,0.41,0.17,0.02,0.0,0.02,0.01,0.23,0.07,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.01
4,Three Ghost Stories,../data/gutenberg/Charles Dickens,../data/gutenberg/Charles Dickens___Three Ghost Stories.txt,0.0,0.08,0.02,0.07,0.0,0.0,0.44,0.0,0.1,0.0,0.0,0.01,0.02,0.01,0.07,0.03,0.01,0.01,0.01,0.11
5,The Man with Two Left Feet,../data/gutenberg/P G Wodehouse,../data/gutenberg/P G Wodehouse___The Man with Two Left Feet.txt,0.0,0.03,0.0,0.05,0.0,0.0,0.0,0.06,0.4,0.09,0.0,0.0,0.0,0.0,0.0,0.03,0.04,0.0,0.0,0.29
6,"Essays: Scientific, Political, & Speculative, Volume I",../data/gutenberg/Herbert Spencer,"../data/gutenberg/Herbert Spencer___Essays: Scientific, Political, & Speculative, Volume I.txt",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.01,0.0,0.0,0.81,0.14,0.0,0.0,0.0,0.0
7,The Lady of the Aroostook,../data/gutenberg/William Dean Howells,../data/gutenberg/William Dean Howells___The Lady of the Aroostook.txt,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.01,0.15,0.07,0.0,0.0,0.0,0.07,0.0,0.0,0.11,0.01,0.0,0.53
8,Tarzan the Untamed,../data/gutenberg/Edgar Rice Burroughs,../data/gutenberg/Edgar Rice Burroughs___Tarzan the Untamed.txt,0.0,0.0,0.68,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.05,0.02,0.0,0.0,0.01,0.0,0.0
9,Diary of a Pilgrimage,../data/gutenberg/Jerome Klapka Jerome,../data/gutenberg/Jerome Klapka Jerome___Diary of a Pilgrimage.txt,0.0,0.0,0.0,0.11,0.0,0.0,0.06,0.0,0.23,0.04,0.05,0.0,0.0,0.0,0.0,0.08,0.02,0.15,0.03,0.22
10,Rinkitink in Oz,../data/gutenberg/Lyman Frank Baum,../data/gutenberg/Lyman Frank Baum___Rinkitink in Oz.txt,0.0,0.0,0.03,0.02,0.0,0.35,0.0,0.0,0.0,0.47,0.0,0.0,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,The Great Keinplatz Experiment and Other Tales of Twilight and the Unseen,../data/gutenberg/Sir Arthur Conan Doyle,../data/gutenberg/Sir Arthur Conan Doyle___The Great Keinplatz Experiment and Other Tales of Twilight and the Unseen.txt,0.05,0.03,0.22,0.09,0.0,0.01,0.25,0.01,0.13,0.0,0.0,0.0,0.01,0.02,0.03,0.1,0.0,0.0,0.01,0.06
12,On the Origin of Species by Means of Natural Selection or the Preservation of Favoured Races in the Struggle for Life. (2nd edition),../data/gutenberg/Charles Darwin,../data/gutenberg/Charles Darwin___On the Origin of Species by Means of Natural Selection or the Preservation of Favoured Races in the Struggle for Life. (2nd edition).txt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
13,Is Shakespeare Dead?,../data/gutenberg/Mark Twain,../data/gutenberg/Mark Twain___Is Shakespeare Dead?.txt,0.0,0.07,0.0,0.09,0.08,0.0,0.0,0.03,0.03,0.0,0.1,0.04,0.0,0.0,0.0,0.49,0.03,0.03,0.0,0.0
14,The Irrational Knot,../data/gutenberg/George Bernard Shaw,../data/gutenberg/George Bernard Shaw___The Irrational Knot.txt,0.0,0.04,0.0,0.0,0.01,0.0,0.12,0.0,0.1,0.0,0.03,0.0,0.0,0.0,0.0,0.04,0.35,0.0,0.03,0.28
15,A Garland for Girls,../data/gutenberg/Louisa May Alcott,../data/gutenberg/Louisa May Alcott___A Garland for Girls.txt,0.0,0.0,0.0,0.0,0.07,0.0,0.01,0.0,0.07,0.65,0.0,0.0,0.0,0.01,0.0,0.0,0.14,0.0,0.0,0.05
16,Mercedes of Castile,../data/gutenberg/James Fenimore Cooper,../data/gutenberg/James Fenimore Cooper___Mercedes of Castile.txt,0.24,0.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.09,0.07,0.02,0.0,0.0,0.06,0.04,0.02
17,The Hermits,../data/gutenberg/Charles Kingsley,../data/gutenberg/Charles Kingsley___The Hermits.txt,0.14,0.0,0.0,0.05,0.01,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.04,0.0,0.15,0.51,0.0
18,Prince Ricardo of Pantouflia,../data/gutenberg/Andrew Lang,../data/gutenberg/Andrew Lang___Prince Ricardo of Pantouflia.txt,0.07,0.01,0.0,0.01,0.0,0.24,0.08,0.09,0.0,0.41,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.06,0.0,0.0
19,"The Hall of Fantasy (From ""Mosses From An Old Manse"")",../data/gutenberg/Nathaniel Hawthorne,"../data/gutenberg/Nathaniel Hawthorne___The Hall of Fantasy (From ""Mosses From An Old Manse"").txt",0.02,0.0,0.01,0.0,0.56,0.0,0.07,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.04,0.04,0.0,0.06,0.0,0.13
20,From Twice Told Tales,../data/gutenberg/Nathaniel Hawthorne,../data/gutenberg/Nathaniel Hawthorne___From Twice Told Tales.txt,0.23,0.04,0.03,0.0,0.12,0.0,0.25,0.0,0.0,0.06,0.0,0.05,0.09,0.0,0.01,0.0,0.0,0.09,0.02,0.02
21,Biographia Literaria,../data/gutenberg/Samuel Taylor Coleridge,../data/gutenberg/Samuel Taylor Coleridge___Biographia Literaria.txt,0.0,0.11,0.0,0.0,0.45,0.0,0.0,0.0,0.0,0.0,0.01,0.1,0.0,0.0,0.13,0.19,0.0,0.0,0.01,0.0
22,They of the High Trails,../data/gutenberg/Hamlin Garland,../data/gutenberg/Hamlin Garland___They of the High Trails.txt,0.0,0.0,0.41,0.0,0.0,0.0,0.0,0.12,0.19,0.05,0.0,0.02,0.11,0.0,0.0,0.0,0.01,0.0,0.0,0.09
23,The Crime of the Congo,../data/gutenberg/Sir Arthur Conan Doyle,../data/gutenberg/Sir Arthur Conan Doyle___The Crime of the Congo.txt,0.0,0.0,0.02,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.19,0.32,0.08,0.19,0.0,0.1,0.0,0.03,0.0,0.0
24,King Solomon's Mines,../data/gutenberg/Henry Rider Haggard,../data/gutenberg/Henry Rider Haggard___King Solomon's Mines.txt,0.2,0.0,0.13,0.19,0.0,0.12,0.03,0.0,0.0,0.01,0.0,0.0,0.21,0.07,0.03,0.01,0.0,0.0,0.01,0.0
25,The Doctor's Dilemma,../data/gutenberg/George Bernard Shaw,../data/gutenberg/George Bernard Shaw___The Doctor's Dilemma.txt,0.01,0.0,0.0,0.0,0.0,0.0,0.17,0.0,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.19,0.41,0.0,0.01,0.03
